"Channel","Programmes","Source","Tried"
"AU | FOX CRICKET","36","foxtel.com.au (FOX CRICKET)","foxtel.com.au=36, foxsports.com.au=0"
"AU | FOX SPORTS 502","47","foxtel.com.au (FOX LEAGUE)","foxtel.com.au=47, foxsports.com.au=0"
"AU | FOX SPORTS 503","19","foxtel.com.au (FOX SPORTS 503)","foxtel.com.au=19, foxsports.com.au=0"
"AU | FOX SPORTS 504","35","foxtel.com.au (Fox Footy)","foxtel.com.au=35, foxsports.com.au=0"
"AU | FOX SPORTS 505","15","foxtel.com.au (FOX SPORTS 505)","foxtel.com.au=15, foxsports.com.au=0"
"AU | FOX SPORTS 506","37","foxtel.com.au (FOX SPORTS 506)","foxtel.com.au=37, foxsports.com.au=0"
"AU | FOX SPORTS 507","26","foxtel.com.au (Fox Sports More)","foxtel.com.au=26, foxsports.com.au=0"
"AU | ESPN","26","foxtel.com.au (ESPN)","foxtel.com.au=26"
"AU | ESPN 2","27","foxtel.com.au (ESPN2)","foxtel.com.au=27"
"AU | SKY RACING 1","12","foxtel.com.au (SKY Racing)","foxtel.com.au=12"
"AU | SKY RACING 2","10","foxtel.com.au (SKY Racing 2)","foxtel.com.au=10"
"AU | RACING TV","57","ontvtonight.com (RACING.COM)","ontvtonight.com=57"
