"Channel","Programmes","Source","Tried"
"ESPN NL","100","tvgids.nl (ESPN 1)","ziggogo.tv=0, tvgids.nl=100, webtv.delta.nl=78"
"ESPN 2 NL","102","tvgids.nl (ESPN 2)","ziggogo.tv=0, tvgids.nl=102, webtv.delta.nl=88"
"ESPN 3 NL","75","tvgids.nl (ESPN 3)","ziggogo.tv=0, tvgids.nl=75, webtv.delta.nl=64"
"ESPN 4 NL","68","tvgids.nl (ESPN 4)","ziggogo.tv=0, tvgids.nl=68"
"SPORT TV1","35","meo.pt (Sport TV1)","meo.pt=35, nostv.pt=28, sporttv.pt=30, vodafone.pt=32"
"SPORT TV2","35","meo.pt (Sport TV2)","meo.pt=35, nostv.pt=26, sporttv.pt=32, vodafone.pt=33"
"SPORT TV3","32","meo.pt (Sport TV3)","meo.pt=32, nostv.pt=23, sporttv.pt=27, vodafone.pt=30"
"SPORT TV4","41","meo.pt (Sport TV4)","meo.pt=41, nostv.pt=34, sporttv.pt=36, vodafone.pt=41"
"SPORT TV5","29","meo.pt (Sport TV5)","meo.pt=29, nostv.pt=22, sporttv.pt=21, vodafone.pt=24"
"SPORT TV6","24","meo.pt (Sport TV6)","meo.pt=24, nostv.pt=17, sporttv.pt=13, vodafone.pt=19"
"SUPERSPORT CRICKET","42","dstv.com (CRICKET)","dstv.com=42"
"BEIN SPORTS 1 ENGLISH","37","canalplus.com (BEIN SPORTS 1)","beinsports.com=33, canalplus.com=37, content.astro.com.my=43, mncvision.id=44"
"REAL MADRID TV","35","vidio.com (Real Madrid TV)","pluto.tv=24, programacion-tv.elpais.com=24, tv.sfr.fr=27, vidio.com=35"
"COURT TV","67","plex.tv (Court TV)","plex.tv=67, pluto.tv=46, xumo.tv=0, tvpassport.com=65"
