"Channel","Programmes","Source","Tried"
"ABC.us","47","tvguide.com (ABC Network Feed)","tvpassport.com=33, tvguide.com=47, ontvtonight.com=36"
"ABCNewsLive.us","59","tvpassport.com (ABC News Live)","tvpassport.com=59, tvtv.us=0"
"AE.us","85","tvguide.com (A&E)","tvguide.com=85, tvtv.us=0"
"AMC.us","34","tvguide.com (AMC)","tvpassport.com=23, tvguide.com=34, ontvtonight.com=23"
"AMCPlus.us","0","","tvtv.us=0"
"AnimalPlanet.ca","55","tvpassport.com (CTV Wild Canada HD)","tvpassport.com=55"
"AnimalPlanet.us","49","tvpassport.com (Animal Planet US - East)","tvpassport.com=49, tvguide.com=61, ontvtonight.com=49"
"beINSportsUSA.us","48","tvpassport.com (beIN Sport USA HD)","tvpassport.com=48, ontvtonight.com=51, tvtv.us=0"
"beINSPORTSXTRA.us","0","","tvtv.us=0"
"beINSPORTSXTRAenEspanol.us","0","","tvtv.us=0"
"Bravo.us","49","tvpassport.com (Bravo USA - Eastern Feed)","tvpassport.com=49, tvguide.com=60, tvtv.us=0"
"CartoonNetwork.ca","0","","tvtv.us=0"
"CartoonNetwork.us","124","tvpassport.com (Cartoon Network USA - Eastern Feed)","tvpassport.com=124, tvguide.com=136, tvtv.us=0"
"CBS.us","45","tvguide.com (CBS National)","tvpassport.com=31, tvguide.com=45, tvtv.us=0"
"CBSSportsNetworkCanada.ca","0","","tvtv.us=0"
"CBSSportsNetworkUSA.us","34","tvpassport.com (CBS Sports Network USA HD)","tvpassport.com=34, tvguide.com=42, tvtv.us=0"
"Cinemax.us","38","tvguide.com (Cinemax)","tvpassport.com=28, tvguide.com=38, tvtv.us=0"
"CitytvSaskatchewan.ca","151","ontvtonight.com (Citytv Saskatchewan)","ontvtonight.com=151"
"CNBC.us","52","tvpassport.com (CNBC USA HD)","tvpassport.com=52, tvguide.com=65, tvtv.us=0"
"CNBCWorld.us","0","","tvtv.us=0"
"CNN.us","57","tvguide.com (CNN)","tvpassport.com=45, tvguide.com=57, tvtv.us=0"
"CNNenEspanol.us","0","","tvtv.us=0"
"CNNInternational.us","74","tvpassport.com (CNN International North America)","tvpassport.com=74, tvtv.us=0"
"ComedyCentral.us","73","tvpassport.com (Comedy Central HD - Eastern Feed)","tvpassport.com=73, tvguide.com=84, tvtv.us=0"
"Crave4.ca","33","tvpassport.com (Crave4)","tvpassport.com=33"
"CTVDramaChannel.ca","48","ontvtonight.com (CTV DRAMA Channel SD)","ontvtonight.com=48"
"CTVNewsChannel.ca","92","tvpassport.com (CTV News Channel)","tvpassport.com=92"
"CTVSciFiChannel.ca","26","ontvtonight.com (CTV SCI-FI Channel SD)","ontvtonight.com=26, tvtv.us=0"
"DestinationAmerica.us","96","tvguide.com (Destination America)","tvguide.com=96, tvtv.us=0"
"DiscoveryChannel.ca","48","tvpassport.com (USA Network (CAN))","tvpassport.com=48"
"DiscoveryChannel.us","56","tvguide.com (Discovery)","tvpassport.com=44, tvguide.com=56, tvtv.us=0"
"DiscoveryenEspanol.us","0","","tvtv.us=0"
"DiscoveryFamilia.us","0","","tvtv.us=0"
"DiscoveryFamily.us","88","tvpassport.com (Discovery Family Channel HD)","tvpassport.com=88, tvguide.com=101, tvtv.us=0"
"DiscoveryLife.us","54","tvguide.com (Discovery Life)","tvpassport.com=43, tvguide.com=54, tvtv.us=0"
