"Channel","Programmes","Source","Tried"
"4SEVEN","52","sky.com (4seven)","sky.com=52, freeview.co.uk=51, player.ee.co.uk=53, virgintvgo.virginmedia.com=55"
"5 ACTION","52","sky.com (5ACTION)","sky.com=52, freeview.co.uk=51, virgintvgo.virginmedia.com=56, player.ee.co.uk=54"
"5 SELECT","48","sky.com (5SELECT)","sky.com=48, freeview.co.uk=47, virgintvgo.virginmedia.com=49, player.ee.co.uk=48"
"5 USA","44","sky.com (5 USA)","sky.com=44, freeview.co.uk=43, virgintvgo.virginmedia.com=49, player.ee.co.uk=46"
"5*","50","sky.com (5STAR)","sky.com=50, freeview.co.uk=50, virgintvgo.virginmedia.com=52, player.ee.co.uk=51"
"AL JAZEERA","74","sky.com (Al Jazeera HD)","sky.com=74, freeview.co.uk=74, virgintvgo.virginmedia.com=74, tvireland.ie=74"
"ALIBI HD","43","sky.com (U&Alibi HD)","sky.com=43, virgintvgo.virginmedia.com=47, player.ee.co.uk=45, tvireland.ie=43"
"ANIMAL PLANET","56","sky.com (Animal Planet)","sky.com=56, virgintvgo.virginmedia.com=57, tvireland.ie=56, entertainment.ie=0"
"B4U MOVIES","23","virgintvgo.virginmedia.com (B4U Movies)","sky.com=16, virgintvgo.virginmedia.com=23, tvireland.ie=15"
"B4U MUSIC","71","sky.com (B4U Music)","sky.com=71, virgintvgo.virginmedia.com=71, tvireland.ie=44"
"BABY TV","632","virgintvgo.virginmedia.com (Baby TV)","sky.com=283, virgintvgo.virginmedia.com=632, tvireland.ie=96"
"BBC ALBA","35","virgintvgo.virginmedia.com (BBC ALBA HD)","sky.com=27, freeview.co.uk=26, virgintvgo.virginmedia.com=35, tvireland.ie=0"
"BBC FOUR HD","32","sky.com (BBC Four HD)","sky.com=32, freeview.co.uk=27, virgintvgo.virginmedia.com=35, player.ee.co.uk=31"
"BBC NEWS","80","sky.com (BBC NEWS HD)","sky.com=80, freeview.co.uk=80, virgintvgo.virginmedia.com=82, player.ee.co.uk=80"
"BBC ONE","72","virgintvgo.virginmedia.com (BBC ONE London HD)","tvireland.ie=50, sky.com=51, freeview.co.uk=50, virgintvgo.virginmedia.com=72"
"BBC SCOTLAND","31","virgintvgo.virginmedia.com (BBC Scotland HD)","freeview.co.uk=21, virgintvgo.virginmedia.com=31, sky.com=24"
"BBC THREE HD","40","sky.com (BBC Three HD)","sky.com=40, freeview.co.uk=36, virgintvgo.virginmedia.com=39, player.ee.co.uk=39"
"BBC TWO","49","sky.com (BBC Two HD)","sky.com=49, freeview.co.uk=48, virgintvgo.virginmedia.com=53, player.ee.co.uk=51"
"BLAZE TV","63","sky.com (BLAZE)","sky.com=63, freeview.co.uk=63, virgintvgo.virginmedia.com=68, player.ee.co.uk=65"
"BOOMERANG","73","sky.com (Boomerang)","sky.com=73, virgintvgo.virginmedia.com=74, player.ee.co.uk=74, tvireland.ie=0"
"CARTOON NETWORK HD","70","virgintvgo.virginmedia.com (Cartoon Network HD)","virgintvgo.virginmedia.com=70, player.ee.co.uk=70, tvireland.ie=68, entertainment.ie=0"
"CARTOONITO","63","sky.com (Cartoonito)","sky.com=63, virgintvgo.virginmedia.com=63, player.ee.co.uk=63, tvireland.ie=63"
"CBBC","84","sky.com (CBBC HD)","sky.com=84, freeview.co.uk=81, virgintvgo.virginmedia.com=89, player.ee.co.uk=85"
"CBEEBIES","155","sky.com (CBeebies HD)","sky.com=155, freeview.co.uk=152, virgintvgo.virginmedia.com=157, player.ee.co.uk=154"
"CHALLENGE","57","sky.com (Challenge)","sky.com=57, freeview.co.uk=57, virgintvgo.virginmedia.com=57, player.ee.co.uk=57"
"CHANNEL 4","61","sky.com (Channel 4 HD)","sky.com=61, freeview.co.uk=60, player.ee.co.uk=63, tvireland.ie=60"
"CHANNEL 5","81","sky.com (5 HD)","sky.com=81, freeview.co.uk=81, virgintvgo.virginmedia.com=85, player.ee.co.uk=83"
"CLUBLAND TV","28","virgintvgo.virginmedia.com (Clubland TV)","sky.com=22, virgintvgo.virginmedia.com=28"
"CNN UK","70","sky.com (CNN HD)","sky.com=70, virgintvgo.virginmedia.com=70, tvireland.ie=70"
"COMEDY CENTRAL EXTRA","89","virgintvgo.virginmedia.com (Comedy Central Extra)","virgintvgo.virginmedia.com=89, tvireland.ie=84, entertainment.ie=0, sky.com=85"
"COMEDY CENTRAL HD","68","sky.com (ComedyCentral)","sky.com=68, virgintvgo.virginmedia.com=70, player.ee.co.uk=70, tvireland.ie=68"
"CRIME AND INVESTIGATION HD","69","tvireland.ie (Crime + Investigation HD)","tvireland.ie=69, sky.com=69, virgintvgo.virginmedia.com=69"
"DAVE","57","sky.com (U&Dave HD)","sky.com=57, freeview.co.uk=56, virgintvgo.virginmedia.com=61, player.ee.co.uk=59"
"DISCOVERY HISTORY","58","virgintvgo.virginmedia.com (Discovery History)","virgintvgo.virginmedia.com=58, tvireland.ie=57, entertainment.ie=0, sky.com=56"
"DISCOVERY SCIENCE","67","virgintvgo.virginmedia.com (Discovery Science)","virgintvgo.virginmedia.com=67, tvireland.ie=67, entertainment.ie=0"
"DISCOVERY TURBO","62","virgintvgo.virginmedia.com (Discovery Turbo)","virgintvgo.virginmedia.com=62, tvireland.ie=62, entertainment.ie=0, sky.com=62"
"DISCOVERY UK","52","sky.com (Discovery HD)","sky.com=52, virgintvgo.virginmedia.com=52, player.ee.co.uk=52, tvireland.ie=52"
"DMAX","58","sky.com (DMAX)","sky.com=58, freeview.co.uk=58, virgintvgo.virginmedia.com=58, player.ee.co.uk=58"
"DRAMA","38","sky.com (U&Drama)","sky.com=38, freeview.co.uk=38, virgintvgo.virginmedia.com=43, player.ee.co.uk=41"
"E4","55","sky.com (E4 HD)","sky.com=55, freeview.co.uk=54, virgintvgo.virginmedia.com=60, player.ee.co.uk=58"
"E4 EXTRA","44","sky.com (E4 Extra)","sky.com=44, freeview.co.uk=0, virgintvgo.virginmedia.com=45, player.ee.co.uk=45"
"EDEN HD","42","sky.com (U&Eden)","sky.com=42, freeview.co.uk=41, virgintvgo.virginmedia.com=45, player.ee.co.uk=42"
"EURO NEWS","217","sky.com (Euronews)","sky.com=217, freeview.co.uk=24, virgintvgo.virginmedia.com=215, tvireland.ie=217"
"FILM 4 HD","30","virgintvgo.virginmedia.com (Film4 HD)","sky.com=20, freeview.co.uk=21, virgintvgo.virginmedia.com=30, player.ee.co.uk=25"
"FOOD NETWORK","85","sky.com (Food Network)","sky.com=85, freeview.co.uk=85, virgintvgo.virginmedia.com=85, player.ee.co.uk=85"
"GB NEWS","24","sky.com (GB News HD)","sky.com=24, freeview.co.uk=23, virgintvgo.virginmedia.com=29, player.ee.co.uk=26"
"GOLD","66","sky.com (U&Gold HD)","sky.com=66, virgintvgo.virginmedia.com=69, player.ee.co.uk=68, tvireland.ie=65"
"GREAT! ACTION","73","sky.com (Great! Action)","sky.com=73, freeview.co.uk=66, virgintvgo.virginmedia.com=78, player.ee.co.uk=70"
"GREAT! CHRISTMAS","79","sky.com (Great! Romance)","sky.com=79, freeview.co.uk=78, virgintvgo.virginmedia.com=82, player.ee.co.uk=80"
"GREAT! MYSTERY","69","sky.com (Great! Mystery)","sky.com=69, freeview.co.uk=68, player.ee.co.uk=71"
"GREAT! TV","59","sky.com (Great! TV)","sky.com=59, freeview.co.uk=55, virgintvgo.virginmedia.com=65, player.ee.co.uk=57"
"HISTORY 2 UK (HD)","48","sky.com (Sky History2)","sky.com=48, virgintvgo.virginmedia.com=48, tvireland.ie=0, entertainment.ie=0"
"ID INVESTIGATION DISCOVERY","51","sky.com (ID)","sky.com=51, virgintvgo.virginmedia.com=52, tvireland.ie=51, entertainment.ie=0"
"ISLAM CHANNEL","116","sky.com (Islam Channel)","sky.com=116, virgintvgo.virginmedia.com=103"
"ITV 1","43","sky.com (ITV1 HD)","sky.com=43, freeview.co.uk=42, virgintvgo.virginmedia.com=47, player.ee.co.uk=45"
"ITV 2","55","sky.com (ITV2 HD)","sky.com=55, freeview.co.uk=54, virgintvgo.virginmedia.com=60, player.ee.co.uk=58"
"ITV QUIZ","41","sky.com (ITV Quiz HD)","sky.com=41, freeview.co.uk=40, player.ee.co.uk=42"
"ITV+1","42","sky.com (ITV1+1)","sky.com=42, freeview.co.uk=42, virgintvgo.virginmedia.com=46"
